1,5,4,2,3
-46.01314971926648,-47.09824166043519,-175.04702040329693,-15.541825284100204,-14.214562723452344
-9.530431068362603,-9.019268901920766,-9.23853594147157,-7.0037095583375315,-7.251550422443273
-16.241977383846727,-172.21658913584986,-13.891580617349089,-9.589518759807877,-8.813268224045979
-158.35611696287648,-163.12351878328352,-159.46128220005235,-8.54770619808977,-8.323691189996945
-176.48614930559262,-166.65563559635507,-158.47942020887112,-178.7644432672763,-176.04948396746883
-177.52811657097567,-166.30978149366774,-159.83771433783224,-179.73868525822795,-164.76956242906206
-170.7168434463465,-159.54120277781374,-162.57775877716816,-174.3980044436078,-160.01525389434036
-184.52726830399538,-183.50444739609216,-159.30715060689315,-161.22595495545653,-167.97451094443818
-12.55271932241115,-12.635297105106563,-12.39883098185753,-13.733741729459538,-13.979941919720297
-10.771329957061868,-10.89096125701041,-10.458632669421283,-8.386118216931978,-8.361608050801836
-11.458411695105633,-11.601933174448968,-11.37043139512119,-9.680259371406489,-9.54943729293204
-11.464164382976609,-11.460746619651573,-11.128315376281641,-9.024612649508343,-9.08063812883542
-10.851363034496949,-10.963336019621075,-10.549648364844225,-8.1824138257269,-8.14976977669063
-12.05478481853065,-12.021921105136917,-11.39236000792158,-11.848671720957457,-11.244714711873833
-12.920872540311084,-11.963375899767565,-12.149505124795223,-10.53460660269026,-12.267114559527482
-13.281721992683849,-10.030707579887723,-9.910791210968284,-7.308300471818824,-9.205270368930933
-11.647472891712317,-11.326419644128817,-11.018948330996563,-9.046450774701416,-9.110044331359731
-11.179597498039149,-11.081283367861998,-10.52994554172028,-8.862632071071811,-8.589128879192813
-164.8019926077134,-176.6405640877939,-157.7728321583022,-8.317440010316892,-7.680850844423009
-10.927798050862272,-11.495299282164703,-10.916672349934164,-9.151358650097979,-8.654541211116008
-13.554729796923699,-11.455039351512967,-10.720002714734656,-8.780753431871426,-8.658712612823576
-12.38465976439164,-12.906185595489381,-12.556525987761443,-10.410890200615155,-10.51969268881275
-180.43423696755244,-167.31945978024453,-167.7965972653393,-162.2711355440302,-180.41539899235576
-177.37217601731794,-166.15577152984767,-159.35518881197387,-168.01375393080315,-177.8406627376978
-177.78166106788902,-176.9262383729871,-177.20098046671984,-158.7949983187555,-177.2362159016624
-179.8761957340553,-171.84141648071216,-180.51293738623028,-178.41365158316205,-179.21106726161995
-12.252961457359755,-12.27072304073451,-12.567719694712004,-10.42720975568719,-10.253379254822628
-11.67495640823182,-16.378995113316062,-14.205787397129303,-9.847010987456324,-9.607524807692474
-163.99897865650368,-12.79617443407286,-158.875957227202,-9.496662915437149,-10.349576313741194
-12.868466003332847,-12.641799226306642,-12.167098165442098,-10.825370649755493,-10.419164135566685
-19.08660561587509,-19.30371039755141,-14.717170827119537,-12.383303208219273,-12.595656546334553
-14.436248232550426,-14.317357005188114,-13.968728821744346,-13.416293154256035,-13.12085831267289
-13.611626364664382,-13.513988641146216,-13.393851682080474,-11.099741596163987,-10.994192536314246
-13.89232182479819,-12.950410448029334,-12.03540158090773,-11.121897687953387,-10.375942274208427
-38.58370760769527,-179.6613404819584,-44.84094068403052,-38.622733187186114,-181.0477196596066
-13.265558442890404,-13.349016339273511,-13.073313708621892,-10.118993978885578,-10.665690379597143
-159.77683408773353,-19.33131987539544,-175.63093292266126,-165.35281483364767,-175.41934739502227
-14.150273219998892,-15.73806174886885,-13.939698509964915,-11.636571308261946,-16.350652444757152
-18.58760574314271,-17.101256876008165,-14.116812284362442,-18.41574224969794,-18.658654524068677
-14.890737636499152,-10.36772523007979,-15.827866690545665,-9.957834362663352,-9.853350355649864
-163.40736263645724,-167.58676583047827,-162.03675561692293,-181.52857626923733,-166.91832928123088
-166.5273729059522,-183.21825191584756,-159.71578096862237,-12.701544663907558,-11.862060465043275
-156.1171413643749,-167.13784792970336,-156.3162580025638,-180.70932256315612,-181.8205288969398
-162.98290235623827,-165.54633572293906,-163.61628114208006,-165.4377380827711,-165.99621858587798
-159.60984292524725,-156.058029568031,-158.44352681527616,-156.91214521616152,-159.4871568356826
-14.09009954240361,-14.541475851012397,-14.655655650593335,-46.081478605293995,-103.88030065637038
-14.367009133454312,-14.073008711245848,-13.541597158840869,-161.54992439443592,-11.081039814326648
-12.72066844287217,-155.72776246911118,-165.42126330389186,-162.2842625059192,-11.684513997903116
-11.306701509837016,-12.69074707294223,-11.353897213548361,-9.200777490091372,-11.285367347753064
-166.8768696919911,-157.5136850578415,-166.83563252635264,-9.63240649741093,-10.249395162637947
-13.77019328982952,-13.580088647794195,-13.34983493850574,-181.2760504237174,-11.520513189247568
-12.650572384310554,-12.111008873685668,-12.282989485975452,-10.789904762097724,-10.69823898723174
2.8486776012722674,2.9970078377467675,2.3601526549556153,3.051368319352375,2.786458431494907
-1.7821067474766308,-1.6553470732597684,-1.5928553907799903,14.341549936788105,17.14711749089946
-58.714054173198626,-56.49610248278562,-58.71816289334264,-56.73588360173708,-57.45807472221461
-3.6446584033945477,-4.023594136528602,-3.3746371855874453,-4.263576098539467,-4.169749610977056
